buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-08-05,2026-08-06,Aster Call,Aster Call,FUL,HB FULLER,Materials,31,6,-0.00780398,59.584999,59.119999,Aster当日前50,
2026-08-05,2026-08-06,Aster Call,Aster Call,WFRD,Weatherford International plc - Ordinary shares,,33,34,0.01633726,87.529999,88.959999,Aster当日前50,
2026-08-05,2026-08-06,Aster Call,Aster Call,CRVL,CORVEL,Health Care,37,24,-0.00191784,62.570000,62.450001,Aster当日前50,
2026-08-05,2026-08-06,Aster Call,Aster Call,FENC,FENNEC PHARMACEUTICALS,Health Care,49,10,0.03041825,10.520000,10.840000,Aster当日前50,
2026-08-04,2026-08-06,Aster Call,Aster Call,HP,HELMERICH & PAYNE,Energy,12,3,0.07435866,34.494999,37.060001,Aster当日前50,
2026-08-04,2026-08-06,Aster Call,Aster Call,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,32,9,0.02186361,9.605000,9.815000,Aster当日前50,
2026-08-04,2026-08-06,Aster Call,Aster Call,SWKS,Skyworks Solutions,Information Technology,33,28,0.00074854,66.790001,66.839996,Aster当日前50,
2026-08-04,2026-08-06,Aster Call,Aster Call,WFRD,Weatherford International plc - Ordinary shares,,40,34,-0.00514425,89.419998,88.959999,Aster当日前50,
2026-08-03,2026-08-06,Aster Call,Aster Call,NREF,NEXPOINT REAL ESTATE FINANCE,Financials,31,30,0.01558891,17.320000,17.590000,Aster当日前50,
2026-08-03,2026-08-06,Aster Call,Aster Call,LQDT,LIQUIDITY SERVICES INC,Industrials,44,46,0.06895672,39.299999,42.009998,Aster当日前50,
2026-07-31,2026-08-06,Aster Call,Aster Call,NBR,NABORS INDUSTRIES,Energy,13,49,-0.02931560,85.620003,83.110001,Aster当日前50,
2026-07-31,2026-08-06,Aster Call,Aster Call,DOW,Dow Inc.,Materials,37,47,0.00049518,30.290001,30.305000,Aster当日前50,
2026-07-31,2026-08-06,Aster Call,Aster Call,WFRD,Weatherford International plc - Ordinary shares,,39,34,0.01332724,87.790001,88.959999,Aster当日前50,
2026-07-22,2026-08-06,Aster Call,Aster Call,FDX,FedEx,Industrials,14,26,-0.01592004,320.980011,315.869995,Aster当日前50,
2026-07-20,2026-08-06,Aster Call,Aster Call,ARDT,ARDENT HEALTH INC,Health Care,37,38,0.10707457,10.460000,11.580000,Aster当日前50,
2026-07-17,2026-08-06,Aster Call,Aster Call,ACT,ENACT HOLDINGS INC,Financials,28,18,0.04621664,46.520000,48.669998,Aster当日前50,
