rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,DVN,Devon Energy,Energy,100.0,强共识候选,49.834999,67.41,1.0,0.01745608,0.01745608,0.10806006,82.9,62.04,100.0,80.48,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 7 个榜单触发；平均名次 #16.0；最高分 100.0；缠论K线 · 洗盘反转 #10；Aster v4 · Tactical Breakout #13；单一趋势 · Trend Relay #13；Aster v3 · Quality Momentum #14；Aster v2 · Balanced Call #19；Aster v5 · Risk Adjusted #19；Aster Call #24
2,UNTY,UNITY BANCORP INC,Financials,100.0,强共识候选,60.16,60.94,1.37,0.02278137,0.01262414,-0.01651133,90.4,78.16,69.9,80.68,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 7 个榜单触发；平均名次 #14.7；最高分 95.0；Aster v5 · Risk Adjusted #1；Aster v2 · Balanced Call #3；Aster v4 · Tactical Breakout #7；Aster Call #11；单一信号 · 4H EMA 三线翻转 #15；单一信号 · EMA Candle Capture #22；Aster v3 · Quality Momentum #44
3,OSCR,OSCAR HEALTH CLASS A,Financials,100.0,强共识候选,32.814999,59.17,1.2,0.03289263,0.03779247,0.13272351,75.1,61.92,100.0,80.68,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,共识Agent：同日被 7 个榜单触发；平均名次 #31.6；最高分 100.0；Aster v3 · Quality Momentum #15；Aster v2 · Balanced Call #18；Aster v5 · Risk Adjusted #23；单一趋势 · Trend Relay #34；缠论K线 · 洗盘反转 #37；Aster Call #45；Aster v4 · Tactical Breakout #49
4,IBM,IBM,Information Technology,100.0,强共识候选,238.789993,57.18,0.83,-0.00483436,0.02125561,0.02178004,87.7,71.02,88.8,80.48,68.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #13.8；最高分 100.0；Aster v3 · Quality Momentum #3；Aster v5 · Risk Adjusted #8；单一趋势 · Trend Relay #9；Aster v2 · Balanced Call #15；Aster Call #16；单一信号 · 4H EMA 三线翻转 #32
5,PM,Philip Morris International,Consumer Staples,100.0,强共识候选,193.634995,62.47,1.37,0.04256178,0.03216945,0.03926035,92.8,57.3,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #5.5；最高分 100.0；Aster Call #2；Aster v2 · Balanced Call #2；Aster v3 · Quality Momentum #4；Aster v5 · Risk Adjusted #5；Aster v4 · Tactical Breakout #10；单一趋势 · Trend Relay #10
6,EXPD,Expeditors International,Industrials,100.0,强共识候选,191.942505,62.53,0.77,0.01918177,0.02774957,0.05185505,82.9,53.88,100.0,80.48,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #27.7；最高分 100.0；单一趋势 · Trend Relay #12；Aster v4 · Tactical Breakout #14；Aster v2 · Balanced Call #29；Aster Call #32；Aster v3 · Quality Momentum #38；Aster v5 · Risk Adjusted #41
7,EBAY,eBay Inc.,Consumer Discretionary,100.0,强共识候选,107.044998,56.07,0.5,0.03425119,0.00182499,0.04291698,92.8,63.97,88.8,80.0,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #28.3；最高分 94.0；Aster Call #13；Aster v4 · Tactical Breakout #18；Aster v2 · Balanced Call #24；Aster v5 · Risk Adjusted #30；Aster v3 · Quality Momentum #40；单一趋势 · Trend Relay #45
8,HUT,HUT CORP,Information Technology,100.0,强共识候选,100.449997,63.68,1.37,0.04700849,0.14826239,0.10786367,87.7,73.14,81.8,80.84,100.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #10.7；最高分 100.0；Aster v5 · Risk Adjusted #3；单一趋势 · Trend Relay #3；Aster v2 · Balanced Call #4；Aster v3 · Quality Momentum #5；Aster Call #8；缠论K线 · 洗盘反转 #41
9,CLSK,CLEANSPARK,Information Technology,100.0,强共识候选,13.81,63.65,1.47,0.04069329,0.11326078,0.14624834,87.7,73.36,81.8,80.84,100.0,72.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #16.5；最高分 100.0；单一趋势 · Trend Relay #4；Aster v3 · Quality Momentum #9；Aster v2 · Balanced Call #13；Aster v5 · Risk Adjusted #18；Aster Call #19；单一信号 · 4H EMA 三线翻转 #36
10,DBX,"Dropbox, Inc. - Class A Common Stock",,100.0,强共识候选,35.549999,58.18,0.91,0.02745668,0.00551546,0.05835067,98.2,54.33,88.8,80.84,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #13.3；最高分 100.0；Aster v4 · Tactical Breakout #3；Aster Call #4；Aster v2 · Balanced Call #10；Aster v5 · Risk Adjusted #12；单一趋势 · Trend Relay #17；Aster v3 · Quality Momentum #34
11,GLNG,GOLAR LNG,Energy,100.0,强共识候选,52.77,59.51,1.21,0.01539348,0.01150090,0.02885551,82.9,60.86,88.8,80.84,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #11.0；最高分 100.0；单一趋势 · Trend Relay #5；Aster v4 · Tactical Breakout #6；Aster v3 · Quality Momentum #8；Aster v2 · Balanced Call #12；Aster v5 · Risk Adjusted #15；Aster Call #20
12,SEDG,"SolarEdge Technologies, Inc. - Common Stock",,100.0,强共识候选,35.547501,56.4,1.65,0.00901223,0.06207051,0.09667467,87.7,57.34,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #15.7；最高分 100.0；Aster v2 · Balanced Call #5；Aster Call #7；Aster v3 · Quality Momentum #11；Aster v5 · Risk Adjusted #13；单一趋势 · Trend Relay #18；Aster v4 · Tactical Breakout #40
13,NBN,NORTHEAST BANK,Financials,100.0,强共识候选,133.179993,59.26,1.09,0.03192310,0.01285260,-0.01878732,90.4,70.93,69.9,80.68,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #10.0；最高分 94.7；单一信号 · 4H EMA 三线翻转 #2；Aster v5 · Risk Adjusted #4；Aster v2 · Balanced Call #8；Aster v4 · Tactical Breakout #8；Aster Call #12；单一信号 · EMA Candle Capture #26
14,PNTG,PENNANT GROUP,Health Care,100.0,强共识候选,39.551998,59.7,0.42,-0.00297454,0.02999989,0.03783776,87.7,58.71,100.0,80.68,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #33.2；最高分 85.2；单一信号 · 4H EMA 三线翻转 #13；缠论K线 · 洗盘反转 #18；Aster Call #35；Aster v3 · Quality Momentum #39；Aster v2 · Balanced Call #47；Aster v5 · Risk Adjusted #47
15,NPK,NATIONAL PRESTO INDUSTRIES INC,Industrials,100.0,强共识候选,152.044998,58.22,1.05,0.02345854,0.05844068,0.09581981,98.2,54.72,100.0,80.68,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #4.7；最高分 100.0；Aster Call #1；Aster v2 · Balanced Call #1；Aster v3 · Quality Momentum #2；Aster v4 · Tactical Breakout #2；Aster v5 · Risk Adjusted #2；单一趋势 · Trend Relay #20
16,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,100.0,强共识候选,28.475,58.03,1.15,0.03734058,0.04208596,0.06250004,90.4,48.39,91.6,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #22.5；最高分 100.0；Aster v2 · Balanced Call #14；Aster Call #17；Aster v3 · Quality Momentum #17；单一趋势 · Trend Relay #24；Aster v5 · Risk Adjusted #29；Aster v4 · Tactical Breakout #34
17,CNXN,PC CONNECTION INC,Information Technology,100.0,强共识候选,85.300003,67.96,1.11,0.03206293,0.02851637,0.06114326,75.1,61.17,100.0,80.68,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #28.7；最高分 100.0；Aster v3 · Quality Momentum #16；Aster v2 · Balanced Call #20；Aster v5 · Risk Adjusted #27；单一趋势 · Trend Relay #31；缠论K线 · 洗盘反转 #32；Aster Call #46
18,ELV,Elevance Health,Health Care,100.0,强共识候选,417.76001,63.64,0.95,0.05205373,0.00769473,0.05696471,82.9,61.39,80.4,80.48,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #37.0；最高分 100.0；单一趋势 · Trend Relay #11；Aster v5 · Risk Adjusted #38；Aster v4 · Tactical Breakout #43；Aster v2 · Balanced Call #44；Aster Call #49
19,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",,100.0,强共识候选,16.3538,55.39,1.14,0.02147408,0.03048519,0.02692622,87.7,56.61,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #8.8；最高分 100.0；单一趋势 · Trend Relay #2；Aster v2 · Balanced Call #7；Aster Call #9；Aster v3 · Quality Momentum #12；Aster v5 · Risk Adjusted #14
20,AAPL,Apple Inc.,Information Technology,100.0,强共识候选,333.709991,66.66,1.49,0.05801968,0.01824667,0.10441450,82.9,64.37,91.6,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #15.0；最高分 90.3；Aster v3 · Quality Momentum #6；Aster v2 · Balanced Call #9；Aster v5 · Risk Adjusted #11；Aster Call #18；Aster v4 · Tactical Breakout #31
21,CXT,CRANE NXT,Information Technology,100.0,强共识候选,51.665001,61.28,0.57,0.01943569,0.04110833,0.00184218,87.7,70.88,88.8,80.68,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #23.4；最高分 90.2；单一信号 · 4H EMA 三线翻转 #1；缠论K线 · 洗盘反转 #19；Aster Call #31；Aster v5 · Risk Adjusted #31；Aster v2 · Balanced Call #35
22,FLNG,FLEX LNG,Energy,100.0,强共识候选,31.764999,55.83,0.69,0.02007065,0.02368669,0.07842468,98.2,54.64,100.0,80.68,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #14.0；最高分 96.7；Aster v4 · Tactical Breakout #4；Aster Call #10；Aster v2 · Balanced Call #17；Aster v3 · Quality Momentum #18；Aster v5 · Risk Adjusted #21
23,ANDE,ANDERSONS INC,Consumer Staples,100.0,强共识候选,71.635002,62.98,0.18,0.00441674,0.04836821,0.09500159,75.1,74.16,100.0,80.68,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #26.4；最高分 89.2；缠论K线 · 洗盘反转 #3；Aster v3 · Quality Momentum #19；单一信号 · 4H EMA 三线翻转 #23；Aster v5 · Risk Adjusted #37；Aster v2 · Balanced Call #50
24,RSI,RUSH STREET INTERACTIVE CLASS A,Consumer Discretionary,100.0,强共识候选,26.745001,54.03,1.31,0.00093570,-0.00353946,0.09051992,95.5,48.61,81.1,80.0,100.0,100.0,early_transition,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #15.0；最高分 100.0；Aster Call #5；Aster v4 · Tactical Breakout #9；Aster v2 · Balanced Call #16；Aster v5 · Risk Adjusted #20；单一趋势 · Trend Relay #25
25,HPK,HIGHPEAK ENERGY INC,Energy,100.0,强共识候选,8.41,58.44,0.82,0.02560976,0.02937576,0.14733970,82.9,62.67,100.0,80.68,68.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #29.0；最高分 100.0；Aster v3 · Quality Momentum #20；Aster v4 · Tactical Breakout #24；单一趋势 · Trend Relay #28；Aster v2 · Balanced Call #32；Aster Call #41
26,TRMK,TRUSTMARK,Financials,100.0,强共识候选,47.09,57.12,1.08,0.03786472,0.01970550,-0.02242055,92.8,42.71,72.7,80.68,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #20.4；最高分 93.5；单一信号 · EMA Candle Capture #9；Aster v4 · Tactical Breakout #12；Aster Call #15；Aster v2 · Balanced Call #27；Aster v5 · Risk Adjusted #39
27,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,98.89,强共识候选,285.649994,57.03,0.29,-0.00774632,0.01510306,0.07065220,87.7,73.79,83.8,80.68,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #31.0；最高分 83.8；Aster v3 · Quality Momentum #7；Aster v5 · Risk Adjusted #25；Aster Call #33；Aster v2 · Balanced Call #40；单一信号 · 4H EMA 三线翻转 #50
28,NGS,NATURAL GAS SERVICES GROUP,Energy,98.85,强共识候选,37.650002,61.87,0.42,-0.01155154,0.04091800,0.02644498,87.7,71.51,83.8,80.68,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #30.8；最高分 83.4；Aster v3 · Quality Momentum #10；单一信号 · 4H EMA 三线翻转 #26；Aster v5 · Risk Adjusted #33；Aster Call #37；Aster v2 · Balanced Call #48
29,ANET,Arista Networks,Information Technology,99.15,共识观察,198.904007,58.32,1.21,0.03107150,0.03866322,-0.04739462,98.2,57.25,72.7,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 4 个榜单触发；平均名次 #4.2；最高分 100.0；Aster v4 · Tactical Breakout #1；Aster Call #3；Aster v2 · Balanced Call #6；Aster v5 · Risk Adjusted #7
30,ARL,AMERICAN REALTY INVESTORS INC,Real Estate,97.26,共识观察,16.08,53.69,0.0,0.05442623,0.06986028,0.07200000,95.5,73.02,91.6,80.68,30.0,100.0,early_transition,fresh_above_zero_cross,共识Agent：同日被 4 个榜单触发；平均名次 #6.0；最高分 91.4；Aster v3 · Quality Momentum #1；Aster Call #6；Aster v5 · Risk Adjusted #6；Aster v2 · Balanced Call #11
31,GSBC,GREAT SOUTHERN BANCORP INC,Financials,95.57,共识观察,79.440002,51.1,1.26,0.00709946,-0.01034004,-0.01998515,92.8,60.24,62.2,67.48,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 4 个榜单触发；平均名次 #18.0；最高分 95.4；Aster v4 · Tactical Breakout #5；Aster Call #14；Aster v2 · Balanced Call #25；Aster v5 · Risk Adjusted #28
